region,date,mean,median,lower_90,upper_90,lower_50,upper_50
BO,2020-06-06,0.9695815507013027,0.9859935798892179,0.7143853982553313,1.1837576085640507,0.9281012423349082,1.0860229682194265
BO,2020-06-07,0.9704000399253989,0.9876830936112313,0.7286352083297234,1.2088648577633156,0.9165502017122449,1.0806891913377583
CO,2020-04-20,1.187192001629736,1.1670661651538516,1.0278912923371988,1.356719616133416,1.0692432804517775,1.1893377596870613
CO,2020-04-21,1.185715314767144,1.165168521256661,1.0223371173018914,1.3336761154239274,1.079589471434377,1.1975468474279864
CO,2020-04-22,1.1818694135886343,1.162972141985946,1.0439459318032258,1.338037081677641,1.0830186768534504,1.1942715419636607
CO,2020-04-23,1.1777649324645179,1.162980292472937,1.0319965083307268,1.3180635856458596,1.0865011381365013,1.1983180834794922
CO,2020-04-24,1.1776650219211833,1.1610938344292383,1.0441656995223167,1.3162653988411483,1.0779654739497224,1.1880764156058354
CO,2020-04-25,1.177477788803011,1.1632284101403516,1.031942573481606,1.306329353435157,1.0717910640552393,1.1799624122077925
CO,2020-04-26,1.1756564991614924,1.160092290108516,1.0247611974286566,1.2988918264668237,1.0770753736409715,1.184582983772294
CO,2020-04-27,1.1727009111057294,1.1591149882802367,1.0324033437846158,1.3024092876754318,1.0749827962088798,1.180206509981563
CO,2020-04-28,1.1703360792998123,1.1582287501691293,1.0353030887417372,1.295021933250513,1.093966811504074,1.1991194593406762
CO,2020-04-29,1.167955752323167,1.1527931610329887,1.0397098750275315,1.3028918782187362,1.0822244498438465,1.1865151509906746
CO,2020-04-30,1.1635494117537408,1.149656694260363,1.0386662998450478,1.293822985216324,1.0895023205899412,1.186127124451168
CO,2020-05-01,1.1605465967614679,1.143577625615754,1.0523236885393175,1.3078160334423765,1.0683513501159936,1.161639246841788
CO,2020-05-02,1.156044185869548,1.1401628600824871,1.0255277716337206,1.2769027559126607,1.090675824410252,1.1825882190044061
CO,2020-05-03,1.1505782279358265,1.1365910143536828,1.0322344267547108,1.2678087651476782,1.0656201537231298,1.1565538988976436
CO,2020-05-04,1.1455524100368226,1.1345798549551378,1.022749783728702,1.2596253027099764,1.0681378862988005,1.1600776259736363
CO,2020-05-05,1.141918623045216,1.129575969678857,1.030499808006924,1.264876338467457,1.055102365737243,1.1486280624550884
CO,2020-05-06,1.1397407758442273,1.1270185872203864,1.026890319489712,1.257317399218548,1.0590626998006436,1.1498256429543938
CO,2020-05-07,1.1355747617627332,1.1247773873346276,1.0263052177368317,1.2490420089578513,1.061656506560645,1.153031610614702
CO,2020-05-08,1.132166976185806,1.122776567567048,1.0192021205380255,1.2432905255137054,1.0675599493852632,1.1554454774526832
CO,2020-05-09,1.1286182206882904,1.116676276957459,1.026531922677944,1.2335369760424757,1.072093753757274,1.1543658215365609
CO,2020-05-10,1.1253155626255602,1.114932531566399,1.0245802318015038,1.235606898971444,1.0600735258963003,1.1438981646695567
CO,2020-05-11,1.1203648810670448,1.111851163005821,1.0099569955388865,1.224374728108206,1.0528468703815315,1.135089569101925
CO,2020-05-12,1.1173088761773236,1.1083700197852475,1.0206017423906495,1.2321772489549365,1.061521459937798,1.1425723021322391
CO,2020-05-13,1.1159366804568176,1.1087454664952228,1.016784795945535,1.2227379692963551,1.0574751410928447,1.1348861278148914
CO,2020-05-14,1.1182221814493234,1.1079941428437574,1.0183326799870542,1.2231921220056792,1.0513558162068362,1.1297616276597846
CO,2020-05-15,1.1217606022013376,1.1107465544447548,1.0159782520952954,1.2196191428305474,1.0615808821638242,1.1380800472458246
CO,2020-05-16,1.1221153333086944,1.1117769354247202,1.0130806128066179,1.2139038780953495,1.0552352854753302,1.1329067942973916
CO,2020-05-17,1.1265199591346766,1.1145973650192,1.029370393693969,1.2306342158700705,1.0569083927709277,1.1361443445930899
CO,2020-05-18,1.12936231119736,1.1176678046489992,1.0262128141515534,1.2392497785597407,1.0583204323233106,1.1398530203264576
CO,2020-05-19,1.1303216827953992,1.1185690330827347,1.0277659645913093,1.2370231729193542,1.0630159378618347,1.144337432635579
CO,2020-05-20,1.1311198373917215,1.1168530838682056,1.0421716771342995,1.2592712601390523,1.050763360064232,1.1324828767256974
CO,2020-05-21,1.1288285777188045,1.1184948055087478,1.0232105073569653,1.2317577078433335,1.0615644928833345,1.1432796766076394
CO,2020-05-22,1.1269787987129065,1.1138816925593948,1.0287108450789764,1.2390307334548079,1.045736624680983,1.1270364310268786
CO,2020-05-23,1.1258835739136517,1.1104043445450993,1.0244818515267415,1.237342334678579,1.0430882622658255,1.1235064120422824
CO,2020-05-24,1.1306887130899743,1.1174792586026951,1.0253715587152628,1.2518588388683514,1.057365291351597,1.1396166832858414
CO,2020-05-25,1.135540170109152,1.1196300771770191,1.0298929922537667,1.2568983444415096,1.0584898016568394,1.1407968204249985
CO,2020-05-26,1.1386244386002324,1.1218234550811603,1.02998608303986,1.2589481214420746,1.0619032032049178,1.1474972281247058
CO,2020-05-27,1.1394088720692754,1.1261715979744804,1.0311484156531785,1.2564602056661605,1.0621195930980227,1.1486313837891227
CO,2020-05-28,1.1349982620224164,1.120769478199303,1.0274470391365662,1.2455157568714466,1.0489907541905177,1.1329864240496417
CO,2020-05-29,1.1181438600987146,1.104185848284677,1.0092663338336538,1.2129041873928803,1.0396722253843003,1.1184058557792553
CO,2020-05-30,1.1000305793909202,1.0871866394087388,1.0028736133477196,1.2067908520651178,1.0318879433526287,1.1052783301422682
CO,2020-05-31,1.0810879879117015,1.0712107560813542,0.981307320205794,1.1940162667888663,1.0238003712681047,1.0989284223608866
CO,2020-06-01,1.053286770078034,1.0460060053854994,0.9220933215809128,1.1635248375985427,1.0000965340317907,1.0828693913010472
CO,2020-06-02,1.0349044591802488,1.0338335436355721,0.8953299943757707,1.1739069148985481,0.9900846871444531,1.0863359546323725
